shelter_id,shelter_na,address_1,city,county_par,fips_code,state,zip,mail_addr_,mailing_ad,mailing__1,mailing_ci,mailing_co,mailing_st,mailing_zi,facility_u,evacuation,post_impac,ada_compli,wheelchair,pet_accomm,pet_acco_1,generator_,self_suffi,latitude,longitude,in_100_yr_,in_500_yr_,in_surge_s,pre_landfa,shelter_co,org_organi,org_orga_1,org_main_p,org_fax,org_email,org_hotlin,org_other_,org_addres,org_city,org_state,org_zip,org_poc_na,org_poc_ph,org_poc_af,org_poc_em,org_hours_,population,incident_i,shelter_st,shelter_op,shelter_cl,reporting_,general_po,medical_ne,other_popu,other_po_1,total_popu,pet_popula,incident_n,incident_1,incident_c,objectid,score,status,match_type,loc_name,geox,geoy,facility_t,subfacilit,data_sourc,geometry
184184,KING ST PRIMARY SCHOOL,151 S KING ST,DANBURY,FAIRFIELD,,CT,06810,NO,,,,,,,POST,150.0,100.0,,,,,,,41.424888609999996,-73.50263913,,,,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670384,81.0,M,A,Street,-73.50263913,41.424888609999996,SHELTER,OTHER,0.0,POINT (-73.50263912999998 41.42488860700007)
184073,Granby Senior Center,15 N. Granby Rd,GRANBY,HARTFORD,,CT,06035,YES,,,,,,,BOTH,195.0,97.0,,,,,NO,NO,41.95491304,-72.79087071000001,,,NO,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,2020/10/31,,,0.0,0.0,0.0,,0.0,0.0,,,,670399,81.0,T,A,Street,-72.79087071000001,41.95491304,SHELTER,GENPOPSHEL,0.0,POINT (-72.79087070999998 41.954913039000076)
184429,Sharon Fire Department,36 W MAIN ST,SHARON,LITCHFIELD,,CT,06069,NO,,,,,,,EVAC,200.0,0.0,,,,,,,41.87931603,-73.47731422,,,,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670407,81.0,M,A,Street,-73.47731422,41.87931603,SHELTER,OTHER,0.0,POINT (-73.47731422199996 41.87931602900005)
184442,Skane School,2977 Madison Ave,BRIDGEPORT,FAIRFIELD,,CT,06606,YES,,,,,,,BOTH,71.0,45.0,,,,,,,41.21350296000001,-73.22611559,NO,,NO,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670414,81.0,M,A,Street,-73.22611559,41.21350296000001,SHELTER,OTHER,0.0,POINT (-73.22611559299997 41.21350296400004)
183810,AVON FIRE CO #1,25 DARLING DR,AVON,HARTFORD,,CT,06001,YES,,,,,,,BOTH,93.0,46.0,,,,,YES,,41.80923186,-72.83752754000001,,,NO,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670416,81.0,M,A,Street,-72.83752754000001,41.80923186,SHELTER,GENPOPSHEL,0.0,POINT (-72.83752753699997 41.809231863000036)
183981,East Hartford High School,869 Forbes Street,EAST HARTFORD,HARTFORD,,CT,06118,NO,,,,,,,BOTH,2566.0,630.0,,YES,,,YES,YES,41.75231377,-72.60527762,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,656.0,CLOSED,2013/01/15,,OVERNIGHT,10.0,0.0,,,10.0,,#CT1011-01 - 10/29/2011,CT 10/11 Blizzard - STATEWIDE,BLI,670417,81.0,M,A,Street,-72.60527762,41.75231377,SHELTER,GENPOPSHEL,0.0,POINT (-72.60527762299995 41.752313772000036)
184483,Stonington High School,176 South Broad St,Pawcatuck,NEW LONDON,,CT,6379,YES,,,,,,,BOTH,2919.0,500.0,,YES,,,YES,,41.366383510000006,-71.86055896,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,589.0,CLOSED,2021/08/21,2021/08/23,MIDDAY,0.0,,,,0.0,,3594,Hurricane Irene 8/11 New England,HUR,670428,81.0,M,A,Street,-71.86055896,41.366383510000006,SHELTER,EMEREVAC,0.0,POINT (-71.86055895799996 41.36638350900006)
184212,LOST ACRES FIRE DEPT,206 Salmon Brook St,GRANBY,HARTFORD,,CT,06035,YES,,,,,,,BOTH,558.0,279.0,,,,,YES,,41.942691249999996,-72.79215674000001,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670450,81.0,M,A,Street,-72.79215674000001,41.942691249999996,SHELTER,GENPOPSHEL,0.0,POINT (-72.79215674099999 41.94269125200003)
184089,Hamden HIgh School,2040 DIXWELL AVE,HAMDEN,NEW HAVEN,,CT,06514,NO,,,,,,,EVAC,0.0,0.0,,,,,YES,YES,41.36566825,-72.92188394,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,589.0,CLOSED,2020/10/28,,MIDDAY,0.0,0.0,,,0.0,,3594,Hurricane Irene 8/11 New England,HUR,670451,81.0,M,A,Street,-72.92188394,41.36566825,SHELTER,GENPOPSHEL,0.0,POINT (-72.92188394299995 41.365668251000045)
184440,Silas Deane Middle School,551 SILAS DEANE HWY,WETHERSFIELD,HARTFORD,,CT,06109,NO,,,,,,,BOTH,600.0,125.0,,YES,,,,,41.710351409999994,-72.66288819,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670458,81.0,M,A,Street,-72.66288819,41.710351409999994,SHELTER,GENPOPSHEL,0.0,POINT (-72.66288819299996 41.71035140600003)
184132,IMMACULATE CONCEPTION CHURCH,4 North St,NORFOLK,LITCHFIELD,,CT,06058,YES,,,,,,,EVAC,10.0,0.0,,YES,,,YES,,41.98976177,-73.19990036,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670491,81.0,M,A,Street,-73.19990036,41.98976177,SHELTER,GENPOPSHEL,0.0,POINT (-73.19990035499995 41.98976176700006)
184178,Killingly Elementary School,60 SOAP ST,DAYVILLE,WINDHAM,,CT,06241,NO,,,,,,,BOTH,502.0,251.0,,,,,,,41.84942256,-71.88581101,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670524,81.0,M,A,Street,-71.88581101,41.84942256,SHELTER,GENPOPSHEL,0.0,POINT (-71.88581100699997 41.849422564000065)
184179,Killingly High School,79 WESTFIELD AVE,DANIELSON,WINDHAM,,CT,06239,NO,,,,,,,BOTH,789.0,394.0,,,,,,,41.81330579,-71.88133237999999,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670525,81.0,M,A,Street,-71.88133237999999,41.81330579,SHELTER,GENPOPSHEL,0.0,POINT (-71.88133238299997 41.81330579200005)
184302,North Stonington Elementary School,311 NORWICH WESTERLY RD RT 2,NORTH STONINGTON,NEW LONDON,,CT,06359,NO,,,,,,,BOTH,400.0,200.0,,,,,YES,,41.43941266,-71.88708804,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,608.0,CLOSED,2020/08/27,,OVERNIGHT,0.0,0.0,,,0.0,,,Hurricane Irene 8/11 NC,,670571,81.0,M,A,Street,-71.88708804,41.43941266,SHELTER,GENPOPSHEL,0.0,POINT (-71.88708804399994 41.43941265800004)
184524,Glastonbury Town Hall- Academy Wing,2155 Main Street,GLASTONBURY,HARTFORD,,CT,06033,YES,,,,,,,BOTH,168.0,84.0,,,,,YES,,41.70709586,-72.60802056,,,NO,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,656.0,CLOSED,2020/11/30,2011/11/14,OVERNIGHT,0.0,0.0,,,0.0,,#CT1011-01 - 10/29/2011,CT 10/11 Blizzard - STATEWIDE,BLI,670586,81.0,M,A,Street,-72.60802056,41.70709586,SHELTER,GENPOPSHEL,0.0,POINT (-72.60802055599999 41.70709586000004)
184525,East Windsor Town Hall Annex,25 School Street,EAST WINDSOR,HARTFORD,,CT,06088,NO,,,,,,,BOTH,136.0,68.0,,,,,,,41.913616170000005,-72.61325461000001,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,627.0,CLOSED,2020/08/28,2011/08/30,OVERNIGHT,0.0,,,,0.0,,57181,Hurricane Irene 8/11 - CT,HUR,670587,81.0,T,A,Street,-72.61325461000001,41.913616170000005,SHELTER,GENPOPSHEL,0.0,POINT (-72.61325460999996 41.91361617100006)
184527,Trinity Camp Retreat Center,76 LOWER RIVER RD,WEST CORNWALL,LITCHFIELD,,CT,06796,NO,,,,,,,EVAC,0.0,0.0,,,,,,,41.87195058,-73.36328918000001,,,,,OTHER,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,OTHER,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670589,81.0,M,A,Street,-73.36328918000001,41.87195058,SHELTER,OTHER,0.0,POINT (-73.36328918199996 41.87195058200007)
183834,BETHANY COMMUNITY SCHOOL,44 PECK RD,BETHANY,NEW HAVEN,,CT,06524,NO,,,,,,,EVAC,0.0,0.0,,,,,YES,YES,41.42192085,-72.99936054000001,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670598,81.0,M,A,Street,-72.99936054000001,41.42192085,SHELTER,GENPOPSHEL,0.0,POINT (-72.99936053699997 41.421920845000045)
184263,MYSTIC MIDDLE SCHOOL,204 MISTUXET AVE,MYSTIC,NEW LONDON,,CT,06355,YES,,,,,,,BOTH,500.0,200.0,,YES,,,YES,,41.35836576,-71.94995965,,,,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,,,,0.0,0.0,0.0,,0.0,0.0,,,,670627,81.0,M,A,Street,-71.94995965,41.35836576,SHELTER,GENPOPSHEL,0.0,POINT (-71.94995964699996 41.35836575600007)
183893,Cesar Batalla High School,606 Howard Ave,Bridgeport,FAIRFIELD,,CT,6605,YES,,,,,,,BOTH,416.0,164.0,,YES,,,YES,,41.1700747,-73.20875867999999,YES,,YES,,GENERAL,121320.0,CONNECTICUT REGIONAL CHAPTER,,,,,,209 FARMINGTON AVE,FARMINGTON,CT,6033,,,,,8,GENERAL,0.0,CLOSED,2020/10/28,,,0.0,0.0,0.0,,0.0,0.0,,,,670628,81.0,M,A,Street,-73.20875867999999,41.1700747,SHELTER,GENPOPSHEL,0.0,POINT (-73.20875867699993 41.17007470300007)
